Molecola1,Molecola2, GlobalComparison
HOTAIR,CRW2_23S_B_238_nH.db,-65.17516475893167
HOTAIR,CRW2_23S_B_239_nH.db,-63.093999306278185
HOTAIR,CRW2_23S_B_240_nH.db,-63.37148803329865
HOTAIR,CRW2_23S_B_241_nH.db,-65.8974358974359
HOTAIR,CRW2_23S_B_242_nH.db,-67.75641025641026
HOTAIR,CRW2_23S_B_243_nH.db,-66.08974358974359
HOTAIR,CRW2_23S_B_250_nH.db,-67.37179487179488
HOTAIR,CRW2_23S_B_251_nH.db,-66.02564102564102
HOTAIR,CRW2_23S_B_252_nH.db,-65.8974358974359
HOTAIR,CRW2_23S_B_253_nH.db,-63.84641522256201
HOTAIR,CRW2_23S_B_254_nH.db,-63.91437308868502
HOTAIR,CRW2_23S_B_255_nH.db,-65.4434250764526
HOTAIR,CRW2_23S_B_260_nH.db,-63.00417246175243
HOTAIR,CRW2_23S_B_261_nH.db,-65.26425591098749
HOTAIR,CRW2_23S_B_262_nH.db,-63.24756606397775
HOTAIR,CRW2_23S_B_263_nH.db,-65.48885077186964
HOTAIR,CRW2_23S_B_264_nH.db,-63.499142367066895
HOTAIR,CRW2_23S_B_265_nH.db,-63.739279588336196
HOTAIR,CRW2_23S_B_272_nH.db,-63.739279588336196
HOTAIR,CRW2_23S_B_273_nH.db,-63.499142367066895
HOTAIR,CRW2_23S_B_274_nH.db,-65.42024013722127
HOTAIR,CRW2_23S_B_275_nH.db,-65.65526145900581
HOTAIR,CRW2_23S_B_276_nH.db,-65.848934796643
HOTAIR,CRW2_23S_B_277_nH.db,-66.81730148482892
HOTAIR,CRW2_23S_B_69_nH.db,-63.63636363636363
HOTAIR,CRW2_23S_B_74_nH.db,-63.08119361554476
HOTAIR,CRW2_23S_B_75_nH.db,-64.95489243580846
HOTAIR,CRW2_23S_B_76_nH.db,-63.25468424705066
HOTAIR,CRW2_23S_B_77_nH.db,-63.15240083507307
HOTAIR,CRW2_23S_B_78_nH.db,-65.1356993736952
HOTAIR,CRW2_23S_B_79_nH.db,-62.978427279053584
HOTAIR,CRW2_23S_B_92_nH.db,-63.486616334934794
HOTAIR,CRW2_23S_B_93_nH.db,-65.37405628002746
HOTAIR,CRW2_23S_B_94_nH.db,-63.761153054221005
HOTAIR,CRW2_23S_B_96_nH.db,-63.43642611683849
HOTAIR,CRW2_23S_B_98_nH.db,-63.25966850828729
HOTAIR,CRW2_23S_E_278_nH.db,-63.726835964310226
HOTAIR,CRW2_23S_E_279_nH.db,-65.75154426904598
HOTAIR,CRW2_23S_E_282_nH.db,-63.70192307692308
HOTAIR,CRW2_23S_E_283_nH.db,-65.80844490216272
HOTAIR,CRW2_23S_E_284_nH.db,-68.50639226691612
HOTAIR,CRW2_23S_E_285_nH.db,-68.60174781523096
HOTAIR,CRW2_23S_E_286_nH.db,-66.94756554307116
HOTAIR,CRW2_23S_E_287_nH.db,-63.65836791147994
HOTAIR,CRW2_23S_E_288_nH.db,-65.56016597510373
HOTAIR,CRW2_23S_E_289_nH.db,-64.0876412187607
HOTAIR,CRW2_23S_E_290_nH.db,-65.5939746662102
HOTAIR,CRW2_23S_E_291_nH.db,-63.80853994490358
HOTAIR,CRW2_23S_E_292_nH.db,-65.633608815427
HOTAIR,CRW2_23S_E_293_nH.db,-63.88316151202749
HOTAIR,CRW2_23S_E_294_nH.db,-66.13367444835305
HOTAIR,CRW2_23S_E_295_nH.db,-65.73883161512028
HOTAIR,CRW2_23S_E_296_nH.db,-67.82858970259034
HOTAIR,CRW2_23S_E_297_nH.db,-66.35198921105867
HOTAIR,CRW2_23S_E_298_nH.db,-64.56507080242751
HOTAIR,CRW2_23S_E_299_nH.db,-65.50534667126595
HOTAIR,CRW2_23S_E_300_nH.db,-63.81510865815799
HOTAIR,CRW2_23S_E_301_nH.db,-63.994518670777666
HOTAIR,CRW2_23S_E_302_nH.db,-65.91298389859541
HOTAIR,CRW2_23S_E_303_nH.db,-66.78189817724702
HOTAIR,CRW2_23S_E_304_nH.db,-68.38466373350094
HOTAIR,CRW2_23S_E_306_nH.db,-64.5608108108108
HOTAIR,CRW2_23S_E_307_nH.db,-66.55618163738814
HOTAIR,CRW2_23S_E_308_nH.db,-65.23036128604573
HOTAIR,CRW2_23S_E_312_nH.db,-66.44316730523627
HOTAIR,CRW2_23S_E_313_nH.db,-68.1353767560664
HOTAIR,CRW2_23S_E_314_nH.db,-64.4331641285956
HOTAIR,CRW2_23S_E_315_nH.db,-66.22673434856176
HOTAIR,CRW2_23S_E_321_nH.db,-65.7152682255846
HOTAIR,CRW2_23S_E_322_nH.db,-63.65199449793673
HOTAIR,CRW2_23S_E_323_nH.db,-65.75154426904598
HOTAIR,CRW2_23S_E_324_nH.db,-63.726835964310226
HOTAIR,CRW2_23S_E_325_nH.db,-65.7397871610024
HOTAIR,CRW2_23S_E_326_nH.db,-63.714383796773085
HOTAIR,CRW2_23S_E_327_nH.db,-66.59953004363881
HOTAIR,CRW2_23S_E_328_nH.db,-64.51829472977509
HOTAIR,CRW2_23S_E_329_nH.db,-63.45492085340675
HOTAIR,CRW2_23S_E_330_nH.db,-65.3819683413627
HOTAIR,CRW2_23S_E_334_nH.db,-65.30329289428076
HOTAIR,CRW2_23S_E_335_nH.db,-63.36221837088388
HOTAIR,CRW2_23S_E_336_nH.db,-65.71820363387042
HOTAIR,CRW2_23S_E_337_nH.db,-63.76414124100103
HOTAIR,CRW2_23S_E_342_nH.db,-65.13793103448276
HOTAIR,CRW2_23S_E_343_nH.db,-64.05657123145913
HOTAIR,CRW2_23S_E_346_nH.db,-75.95025809479118
HOTAIR,CRW2_23S_E_347_nH.db,-75.03519474425153
HOTAIR,CRW2_23S_E_348_nH.db,-69.93500988979937
HOTAIR,CRW2_23S_E_349_nH.db,-69.93500988979937
HOTAIR,CRW2_23S_E_350_nH.db,-70.98050296693981
HOTAIR,CRW2_23S_E_351_nH.db,-70.52140984561608
HOTAIR,CRW2_23S_E_352_nH.db,-69.18147392950772
HOTAIR,CRW2_23S_E_353_nH.db,-69.94350282485875
HOTAIR,CRW2_23S_E_354_nH.db,-70.76271186440678
HOTAIR,CRW2_23S_E_355_nH.db,-70.62339880444065
HOTAIR,CRW2_23S_E_356_nH.db,-69.71249644178765
HOTAIR,CRW2_23S_E_357_nH.db,-70.94483888585472
HOTAIR,CRW2_23S_E_358_nH.db,-70.999453850355
HOTAIR,CRW2_23S_E_359_nH.db,-70.999453850355
HOTAIR,CRW2_23S_E_360_nH.db,-71.49098853085745
HOTAIR,CRW2_23S_E_361_nH.db,-71.43637356635718
HOTAIR,CRW2_23S_E_362_nH.db,-70.44419134396355
HOTAIR,CRW2_23S_E_363_nH.db,-69.70387243735763
HOTAIR,CRW2_23S_E_364_nH.db,-74.1476575913662
HOTAIR,CRW2_23S_E_365_nH.db,-74.1421568627451
HOTAIR,CRW2_23S_E_366_nH.db,-72.5693544205341
HOTAIR,CRW2_23S_E_367_nH.db,-72.77676950998185
HOTAIR,CRW2_23S_E_368_nH.db,-74.19980601357905
HOTAIR,CRW2_23S_E_370_nH.db,-75.11520737327189
HOTAIR,CRW2_23S_E_371_nH.db,-58.307210031347964
HOTAIR,CRW2_23S_E_372_nH.db,-59.874608150470216
HOTAIR,CRW2_23S_E_373_nH.db,-61.12852664576803
HOTAIR,CRW2_23S_E_374_nH.db,-74.08687068114511
HOTAIR,CRW2_23S_E_375_nH.db,-73.88943731490622
HOTAIR,CRW2_23S_E_376_nH.db,-71.20304844855742
HOTAIR,CRW2_23S_E_377_nH.db,-72.29178007621121
HOTAIR,CRW2_23S_E_378_nH.db,-69.97742663656885
HOTAIR,CRW2_23S_E_379_nH.db,-70.8803611738149
HOTAIR,CRW2_23S_E_380_nH.db,-70.88393109291161
HOTAIR,CRW2_23S_E_381_nH.db,-69.9519909630048
HOTAIR,CRW2_23S_E_382_nH.db,-62.7034677990092
HOTAIR,CRW2_23S_E_383_nH.db,-65.21585279547062
HOTAIR,CRW2_23S_E_387_nH.db,-64.46104589114194
HOTAIR,CRW2_23S_E_388_nH.db,-62.646744930629666
HOTAIR,CRW2_23S_E_389_nH.db,-66.25806451612904
HOTAIR,CRW2_23S_E_390_nH.db,-68.29032258064517
HOTAIR,CRW2_23S_E_391_nH.db,-71.99677506046761
HOTAIR,CRW2_23S_E_392_nH.db,-71.56678312281645
HOTAIR,CRW2_23S_E_393_nH.db,-79.51388888888889
HOTAIR,CRW2_23S_E_394_nH.db,-79.4753086419753
HOTAIR,CRW2_23S_E_395_nH.db,-80.05401234567901
HOTAIR,CRW2_23S_E_396_nH.db,-69.94350282485875
HOTAIR,CRW2_23S_E_397_nH.db,-70.9322033898305
HOTAIR,CRW2_23S_E_398_nH.db,-78.18853974121997
HOTAIR,CRW2_23S_E_399_nH.db,-78.76360649003902
HOTAIR,CRW2_23S_E_400_nH.db,-70.68062827225131
HOTAIR,CRW2_23S_E_401_nH.db,-70.68062827225131
HOTAIR,CRW2_23S_E_402_nH.db,-71.64508128961147
HOTAIR,CRW2_23S_E_403_nH.db,-61.66731593299571
HOTAIR,CRW2_23S_E_404_nH.db,-60.81028437865212
HOTAIR,CRW2_23S_E_405_nH.db,-58.55083755356447
HOTAIR,CRW2_23S_E_406_nH.db,-61.48727984344423
HOTAIR,CRW2_23S_E_407_nH.db,-60.782778864970645
HOTAIR,CRW2_23S_E_408_nH.db,-58.35616438356164
HOTAIR,CRW2_23S_E_409_nH.db,-58.35616438356164
HOTAIR,CRW2_23S_E_410_nH.db,-61.36986301369863
HOTAIR,CRW2_23S_E_411_nH.db,-59.92172211350294
HOTAIR,CRW2_23S_E_412_nH.db,-57.944664031620555
HOTAIR,CRW2_23S_E_413_nH.db,-59.44664031620553
HOTAIR,CRW2_23S_E_414_nH.db,-62.45059288537549
HOTAIR,CRW2_23S_E_415_nH.db,-71.56293222683264
HOTAIR,CRW2_23S_E_416_nH.db,-70.81604426002767
HOTAIR,CRW2_23S_E_417_nH.db,-70.94041231290596
HOTAIR,CRW2_23S_E_418_nH.db,-69.9519909630048
HOTAIR,CRW2_23S_E_419_nH.db,-69.9519909630048
HOTAIR,CRW2_23S_E_420_nH.db,-69.6260348272909
HOTAIR,CRW2_23S_E_421_nH.db,-70.53953753925207
HOTAIR,CRW2_23S_E_430_nH.db,-72.59067357512953
HOTAIR,CRW2_23S_E_431_nH.db,-72.8238341968912
HOTAIR,CRW2_23S_E_432_nH.db,-70.35373385738349
HOTAIR,CRW2_23S_E_433_nH.db,-70.91521617069063
HOTAIR,CRW2_23S_E_434_nH.db,-73.49733705300532
HOTAIR,CRW2_23S_E_435_nH.db,-73.11691605376616
HOTAIR,CRW2_23S_E_436_nH.db,-74.4208969935929
HOTAIR,CRW2_23S_E_440_nH.db,-76.84662299525638
HOTAIR,CRW2_23S_E_445_nH.db,-79.70867893991503
HOTAIR,CRW2_23S_E_446_nH.db,-79.10176006473802
HOTAIR,CRW2_23S_E_447_nH.db,-70.06190208216094
HOTAIR,CRW2_23S_E_448_nH.db,-70.8778840742825
HOTAIR,CRW2_23S_E_453_nH.db,-70.26271660145332
HOTAIR,CRW2_23S_E_454_nH.db,-71.51829601310759
HOTAIR,CRW2_23S_E_455_nH.db,-70.93690248565966
HOTAIR,CRW2_23S_E_456_nH.db,-68.03818301514154
HOTAIR,CRW2_23S_E_457_nH.db,-65.37195523370639
HOTAIR,CRW2_23S_E_458_nH.db,-74.88061127029609
HOTAIR,CRW2_23S_E_459_nH.db,-74.80897803247373
HOTAIR,CRW2_23S_E_460_nH.db,-71.29859387923904
HOTAIR,CRW2_23S_E_461_nH.db,-70.66446098704164
HOTAIR,CRW2_23S_E_462_nH.db,-70.82988695891922
HOTAIR,CRW2_23S_E_464_nH.db,-70.02554640931025
HOTAIR,CRW2_23S_E_465_nH.db,-69.6086832333619
HOTAIR,CRW2_23S_E_466_nH.db,-69.6086832333619
HOTAIR,CRW2_23S_E_467_nH.db,-69.6086832333619
HOTAIR,CRW2_23S_E_470_nH.db,-58.8394584139265
HOTAIR,CRW2_23S_E_471_nH.db,-60.851063829787236
HOTAIR,CRW2_23S_E_472_nH.db,-61.702127659574465
HOTAIR,CRW2_23S_E_473_nH.db,-75.09946173648491
HOTAIR,CRW2_23S_E_474_nH.db,-76.0355721975193
HOTAIR,CRW2_23S_E_475_nH.db,-71.64305949008498
HOTAIR,CRW2_23S_E_476_nH.db,-70.59490084985836
HOTAIR,CRW2_23S_E_477_nH.db,-40.674157303370784
HOTAIR,CRW2_23S_E_478_nH.db,-46.81647940074907
HOTAIR,CRW2_23S_E_479_nH.db,-47.361729179910995
HOTAIR,CRW2_23S_E_480_nH.db,-48.760330578512395
HOTAIR,CRW2_23S_E_482_nH.db,-39.8359161349134
HOTAIR,CRW2_23S_E_484_nH.db,-61.16219198234645
HOTAIR,CRW2_23S_E_485_nH.db,-62.59654284663479
HOTAIR,CRW2_23S_E_486_nH.db,-67.67868437697659
HOTAIR,CRW2_23S_E_487_nH.db,-48.542274052478135
HOTAIR,CRW2_23S_E_488_nH.db,-67.235926628716
HOTAIR,CRW2_23S_E_489_nH.db,-42.93002915451895
HOTAIR,CRW2_23S_E_490_nH.db,-41.716738197424895
HOTAIR,CRW2_23S_E_493_nH.db,-38.541666666666664
HOTAIR,CRW2_23S_E_494_nH.db,-27.1875
HOTAIR,CRW2_23S_E_495_nH.db,-42.40561896400351
HOTAIR,CRW2_23S_E_496_nH.db,-31.662024141132775
HOTAIR,CRW2_23S_E_497_nH.db,-14.577530176415971
HOTAIR,CRW2_23S_E_498_nH.db,-49.01587301587302
HOTAIR,CRW2_23S_E_499_nH.db,-47.61904761904762
HOTAIR,CRW2_23S_E_500_nH.db,-47.055098163394554
HOTAIR,CRW2_23S_E_501_nH.db,-48.95503483217226
HOTAIR,CRW2_23S_E_502_nH.db,-36.28879037365421
HOTAIR,CRW2_23S_E_503_nH.db,-61.982191250483936
HOTAIR,CRW2_23S_E_504_nH.db,-60.0077429345722
HOTAIR,CRW2_23S_E_505_nH.db,-11.54249737670514
HOTAIR,CRW2_23S_E_506_nH.db,-27.492130115424974
HOTAIR,CRW2_23S_E_507_nH.db,-37.8803777544596
HOTAIR,CRW2_23S_E_508_nH.db,-50.652741514360315
HOTAIR,CRW2_23S_E_509_nH.db,-44.75195822454308
HOTAIR,CRW2_23S_E_510_nH.db,-54.72584856396867
HOTAIR,CRW2_23S_E_511_nH.db,-40.66608238387379
HOTAIR,CRW2_23S_E_512_nH.db,-53.19894829097283
HOTAIR,CRW2_23S_E_513_nH.db,-47.564687975646876
HOTAIR,CRW2_23S_E_515_nH.db,-52.48091603053435
HOTAIR,CRW2_23S_E_516_nH.db,-48.282442748091604
HOTAIR,CRW2_23S_E_517_nH.db,-47.380410022779046
HOTAIR,CRW2_23S_E_518_nH.db,-26.879271070615033
HOTAIR,CRW2_23S_E_522_nH.db,-43.59351988217968
HOTAIR,CRW2_23S_E_523_nH.db,-51.904761904761905
HOTAIR,CRW2_23S_E_524_nH.db,-49.523809523809526
HOTAIR,CRW2_23S_E_525_nH.db,-47.57201646090535
HOTAIR,CRW2_23S_E_526_nH.db,-40.3914590747331
HOTAIR,CRW2_23S_E_527_nH.db,-52.22419928825623
HOTAIR,CRW2_23S_E_528_nH.db,-61.34766432410087
HOTAIR,CRW2_23S_E_529_nH.db,-63.74534931789996
HOTAIR,CRW2_23S_E_530_nH.db,-60.22419791264012
HOTAIR,CRW2_23S_E_531_nH.db,-61.80904522613066
HOTAIR,CRW2_23S_E_532_nH.db,-48.282442748091604
HOTAIR,CRW2_23S_E_533_nH.db,-52.353689567430024
HOTAIR,CRW2_23S_E_535_nH.db,-59.8136284216657
HOTAIR,CRW2_23S_E_536_nH.db,-64.9025069637883
HOTAIR,CRW2_23S_E_537_nH.db,-63.96239554317549
HOTAIR,CRW2_23S_E_541_nH.db,-47.288776796973515
HOTAIR,CRW2_23S_E_542_nH.db,-48.991172761664565
HOTAIR,CRW2_23S_E_543_nH.db,-46.87898089171974
HOTAIR,CRW2_23S_E_544_nH.db,-48.789808917197455
HOTAIR,CRW2_23S_E_545_nH.db,-49.09502262443439
HOTAIR,CRW2_23S_E_546_nH.db,-40.27149321266968
HOTAIR,CRW2_23S_E_547_nH.db,-49.58886780518659
HOTAIR,CRW2_23S_E_548_nH.db,-47.43833017077799
HOTAIR,CRW2_23S_E_551_nH.db,-41.16022099447514
HOTAIR,CRW2_23S_E_552_nH.db,-67.30892742453436
HOTAIR,CRW2_23S_E_553_nH.db,-68.02699228791774
HOTAIR,CRW2_23S_E_554_nH.db,-48.36520666255398
HOTAIR,CRW2_23S_E_555_nH.db,-50.771128932757556
HOTAIR,CRW2_23S_E_556_nH.db,-48.11742182514359
HOTAIR,CRW2_23S_E_557_nH.db,-52.265475430759416
HOTAIR,CRW2_23S_E_558_nH.db,-48.716302952503206
HOTAIR,CRW2_23S_E_559_nH.db,-47.2400513478819
HOTAIR,CRW2_23S_E_561_nH.db,-47.753530166880616
HOTAIR,CRW2_23S_E_562_nH.db,-47.52252252252252
HOTAIR,CRW2_23S_E_565_nH.db,-47.86196549137284
HOTAIR,CRW2_23S_E_566_nH.db,-39.30982745686421
HOTAIR,CRW2_23S_E_567_nH.db,-28.35708927231808
HOTAIR,CRW2_23S_E_568_nH.db,-47.336377473363775
HOTAIR,CRW2_23S_E_569_nH.db,-40.71537290715373
HOTAIR,CRW2_23S_E_570_nH.db,-54.049445865302644
HOTAIR,CRW2_23S_E_571_nH.db,-42.79624893435635
HOTAIR,CRW2_23S_E_572_nH.db,-33.333333333333336
HOTAIR,CRW2_23S_E_573_nH.db,-26.50508209538702
HOTAIR,CRW2_23S_E_574_nH.db,-48.31899921813917
HOTAIR,CRW2_23S_E_575_nH.db,-38.15480844409695
HOTAIR,CRW2_23S_E_576_nH.db,-42.08261617900172
HOTAIR,CRW2_23S_E_577_nH.db,-53.78657487091222
HOTAIR,CRW2_23S_E_580_nH.db,-45.739549839228296
HOTAIR,CRW2_23S_E_581_nH.db,-61.77248677248677
HOTAIR,CRW2_23S_E_582_nH.db,-54.1005291005291
HOTAIR,CRW2_23S_E_583_nH.db,-47.40834386852086
HOTAIR,CRW2_23S_E_584_nH.db,-49.304677623261696
HOTAIR,CRW2_23S_E_585_nH.db,-62.55805644873169
HOTAIR,CRW2_23S_E_586_nH.db,-64.34440871739908
HOTAIR,CRW2_23S_E_587_nH.db,-46.045918367346935
HOTAIR,CRW2_23S_E_590_nH.db,-71.11111111111111
HOTAIR,CRW2_23S_E_591_nH.db,-70.85137085137085
HOTAIR,CRW2_23S_E_592_nH.db,-69.27822331893893
HOTAIR,CRW2_23S_E_593_nH.db,-68.01357186921653
HOTAIR,CRW2_23S_E_594_nH.db,-60.28560401389425
HOTAIR,CRW2_23S_E_595_nH.db,-61.404862987263606
HOTAIR,CRW2_23S_E_596_nH.db,-48.30887045309509
HOTAIR,CRW2_23S_E_597_nH.db,-51.88257817485641
HOTAIR,CRW2_23S_E_598_nH.db,-72.70524899057874
HOTAIR,CRW2_23S_E_599_nH.db,-72.78600269179005
HOTAIR,CRW2_23S_E_600_nH.db,-66.58022690437602
HOTAIR,CRW2_23S_E_601_nH.db,-67.16369529983793
HOTAIR,CRW2_23S_E_602_nH.db,-70.31615925058549
HOTAIR,CRW2_23S_E_603_nH.db,-70.7552693208431
HOTAIR,CRW2_23S_E_604_nH.db,-61.75269216487189
HOTAIR,CRW2_23S_E_605_nH.db,-63.38655774229484
HOTAIR,CRW2_23S_E_606_nH.db,-48.80722114764668
HOTAIR,CRW2_23S_E_607_nH.db,-46.03481624758221
HOTAIR,CRW2_23S_E_609_nH.db,-48.49755415793152
HOTAIR,CRW2_23S_E_612_nH.db,-45.53376906318083
HOTAIR,CRW2_23S_E_617_nH.db,-62.41457858769932
HOTAIR,CRW2_23S_E_618_nH.db,-61.46545178435839
HOTAIR,CRW2_23S_E_619_nH.db,-61.351351351351354
HOTAIR,CRW2_23S_E_620_nH.db,-60.73359073359073
HOTAIR,CRW2_23S_E_621_nH.db,-53.34190231362468
HOTAIR,CRW2_23S_E_622_nH.db,-61.246786632390744
HOTAIR,CRW2_23S_E_623_nH.db,-60.046728971962615
HOTAIR,CRW2_23S_E_624_nH.db,-60.942367601246104
HOTAIR,CRW2_23S_E_625_nH.db,-47.2400513478819
HOTAIR,CRW2_23S_E_626_nH.db,-48.716302952503206
HOTAIR,CRW2_23S_E_627_nH.db,-49.329073482428115
HOTAIR,CRW2_23S_E_628_nH.db,-46.5814696485623
HOTAIR,CRW2_23S_E_629_nH.db,-65.81225033288948
HOTAIR,CRW2_23S_E_630_nH.db,-65.71238348868175
HOTAIR,CRW2_23S_E_631_nH.db,-62.12286441294075
HOTAIR,CRW2_23S_E_632_nH.db,-63.540530716103234
HOTAIR,CRW2_23S_E_633_nH.db,-53.31230283911672
HOTAIR,CRW2_23S_E_634_nH.db,-48.201892744479494
HOTAIR,CRW2_23S_E_635_nH.db,-52.46953175112252
HOTAIR,CRW2_23S_E_636_nH.db,-62.44836650394292
HOTAIR,CRW2_23S_E_637_nH.db,-48.36433611289288
HOTAIR,CRW2_23S_E_638_nH.db,-61.05895606458881
HOTAIR,CRW2_23S_E_639_nH.db,-65.5076495132128
HOTAIR,CRW2_23S_E_640_nH.db,-63.97774687065368
HOTAIR,CRW2_23S_E_641_nH.db,-67.49159792239536
HOTAIR,CRW2_23S_E_642_nH.db,-69.35533150015277
HOTAIR,CRW2_23S_E_643_nH.db,-68.7442713107241
HOTAIR,CRW2_23S_E_644_nH.db,-63.2342533616419
HOTAIR,CRW2_23S_E_645_nH.db,-64.68506723283794
HOTAIR,CRW2_23S_E_646_nH.db,-47.47540983606557
HOTAIR,CRW2_23S_E_647_nH.db,-52.91803278688525
HOTAIR,CRW2_23S_E_651_nH.db,-45.30531845042679
HOTAIR,CRW2_23S_E_652_nH.db,-48.12869336835194
HOTAIR,CRW2_23S_E_653_nH.db,-70.14710124026536
HOTAIR,CRW2_23S_E_654_nH.db,-71.38736659936545
HOTAIR,CRW2_23S_E_655_nH.db,-53.55902777777778
HOTAIR,CRW2_23S_E_656_nH.db,-41.927083333333336
HOTAIR,CRW2_23S_E_657_nH.db,-48.25396825396825
HOTAIR,CRW2_23S_E_658_nH.db,-52.38095238095238
HOTAIR,CRW2_23S_E_659_nH.db,-60.65510597302505
HOTAIR,CRW2_23S_E_660_nH.db,-61.92678227360308
HOTAIR,CRW2_23S_E_661_nH.db,-61.73410404624278
HOTAIR,CRW2_23S_E_662_nH.db,-60.539499036608866
HOTAIR,CRW2_23S_E_663_nH.db,-49.08536585365854
HOTAIR,CRW2_23S_E_664_nH.db,-48.292682926829265
HOTAIR,CRW2_23S_E_665_nH.db,-37.6219512195122
HOTAIR,CRW2_GIII_B_18_nH.db,-67.55800235941801
